ESTADO,GOVERNADOR,GÊNERO,PARTIDO,VICE,GÊNERO,PARTIDO,ENFOQUE,SECRETARIAS,SECRETÁRIOS,GÊNERO,PARTIDO,PROFISSÃO,INVESTIMENTO,DESPESAS,TOTAL,%TOTAL,ESCOLHA
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Economia,Desenvolvimento Econômico,Thiago Norões,M,PSB,Advogado,288.970.600,26.134.950.500,33.618.176.300,"0,8595665554",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 02,Juventude,Isaltino Nascimento,M,PSB,Contador,210.211.300,,33.618.176.300,"0,625290611",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 01,Educação,Frederico Amâncio,M,Não,Administrador,3.828.111.100,,33.618.176.300,"11,38702786",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Infraestrutura,Habitação,Marcos Baptista,M,PMDB,Advogado,,13.790.717.500,33.618.176.300,0,Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Governo,Comunicação,Ennio Benning,M,Não,Jornalista,,19,33.618.176.300,0,Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 02,Direitos Humanos,Pedro Eurico,M,PSDB,Advogado,327.914.000,,33.618.176.300,"0,9754068664",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Infraestrutura,Meio ambiente,Sérgio Xavier,M,PV,,62.914.100,,33.618.176.300,"0,1871431081",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Economia,Trabalho,Evandro Avelar,M,PSDB,,25.953.300,,33.618.176.300,"0,07720020196",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 02,Mulher,Silvia Cordeiro,F,Não,Médica,19.923.100,,33.618.176.300,"0,05926288155",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Governo,Planejamento,Danilo Cabral,M,PSB,Advogado,287.459.900,,33.618.176.300,"0,8550728553",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 01,Saúde,José Irán Costa Júnior,M,Não,Médico,4.314.065.700,,33.618.176.300,"12,83253934",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Infraestrutura,Transporte,Sebastião Oliveira,M,PR,Médico,152.646.000,,33.618.176.300,"0,4540579436",Técnica
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Social - 02,Turismo,Felipe Carreras,M,PSB,Empresário,209.035.500,,33.618.176.300,"0,6217930983",Política
PE,Paulo Câmara,M,PSB,Raul Henry,M,PMDB,Economia,Fazenda,Márcio Stefanni,M,PSB,Advogado,942.627.000,,33.618.176.300,"2,803920687",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Infraestrutura,Cidades,Fábio Henrique Mendonça,M,PR,Superior Incompleto,147.529.390,,18.232.376.061,"0,8091616227",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Infraestrutura,Desenvolvimento Rural,Francisco Limma,M,PT,Agrônomo,49.451.206,,18.232.376.061,"0,2712274354",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Economia,Trabalho,Gessivaldo Isaias,M,PRB,Pedagogo,6.196.012,,18.232.376.061,"0,03398356846",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 02,Defesa Social,Hélio Isaias,M,PP,Fisioterapeuta,8.620.000,,18.232.376.061,"0,04727853337",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Infraestrutura,Infraestrutura,Janaínna Marques,F,PTB,,255.300.000,,18.232.376.061,"1,400256331",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Infraestrutura,Minas e Energia,Luís Coelho,M,PHS,,6.112.078,,18.232.376.061,"0,03352321156",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Economia,Desenvolvimento Econômico,José Icemar Lavor Neri,M,PTB,,16.412.105,7.741.915.029,18.232.376.061,"0,09001627075",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 01,Educação,Rejane Dias,F,PT,Administradora,1.648.313.064,,18.232.376.061,"9,040582854",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Infraestrutura,Meio ambiente,Luís Henrique de Sousa Carvalho,M,Não,,8.399.000,,18.232.376.061,"0,04606640392",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 02,Assistência Social,José Henrique Ferreira,M,PTB,,4.950.000,3.798.674.627,18.232.376.061,"0,02714950582",Técnica
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 02,Inclusão Pessoas com Deficiência,Mauro Eduardo,M,PT,,3.209.700,,18.232.376.061,"0,01760439774",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Governo,Governadoria,Merlog Solano,M,PT,Economista,52.769.845,,18.232.376.061,"0,2894293362",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Social - 01,Saúde,Francisco de Assis,M,PT,Médico,992.784.606,,18.232.376.061,"5,445174028",Política
PI,Wellington Dias,M,PT,Margarete Coelho,F,PP,Governo,Casa Militar,José Denilson do Rêgo Marques,M,Não,Coronel,14.198.140,,18.232.376.061,"0,07787322921",Técnica
